"filename", "language", "Markdown", "toml", "Python", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Xilinx\Projects\openxc2064\src\openxc2064\synthesis\rtl_nodes.py", "Python", 0, 0, 72, 0, 0, 0, 0, 0, 0, 9, 29, 110
"c:\Xilinx\Projects\openxc2064\src\openxc2064\synthesis\synthesis.py", "Python", 0, 0, 255, 0, 0, 0, 0, 0, 0, 27, 56, 338
"c:\Xilinx\Projects\openxc2064\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Xilinx\Projects\openxc2064\tests\test_elaborator.py", "Python", 0, 0, 627, 0, 0, 0, 0, 0, 0, 20, 80, 727
"c:\Xilinx\Projects\openxc2064\tests\test_high_level_rtl_simulator.py", "Python", 0, 0, 600, 0, 0, 0, 0, 0, 0, 39, 256, 895
"c:\Xilinx\Projects\openxc2064\tests\test_integration_high_level_rtl_simulator.py", "Python", 0, 0, 539, 0, 0, 0, 0, 0, 0, 29, 125, 693
"c:\Xilinx\Projects\openxc2064\tests\test_parser.py", "Python", 0, 0, 601, 0, 0, 0, 0, 0, 0, 67, 105, 773
"c:\Xilinx\Projects\openxc2064\tests\test_synthesiser.py", "Python", 0, 0, 372, 0, 0, 0, 0, 0, 0, 41, 116, 529
"c:\Xilinx\Projects\openxc2064\uv.lock", "toml", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 16, 195
"Total", "-", 51, 179, 3909, 2609, 29, 22, 1021, 7, 156, 419, 1312, 9714
